,Country,EdLevel,YearsCodePro,Salary
1446,United States of America,Less than a Bachelors,10.0,155000.0
1449,Spain,Less than a Bachelors,4.0,32429.0
1457,Brazil,Master’s degree,12.0,30240.0
1464,Poland,Master’s degree,5.0,66828.0
1468,Israel,Bachelor’s degree,0.5,98064.0
1474,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,118919.0
1475,United States of America,Master’s degree,5.0,140000.0
1481,United States of America,Bachelor’s degree,5.0,120000.0
1482,United States of America,Post grad,14.0,130000.0
1489,Spain,Less than a Bachelors,9.0,81074.0
1490,United States of America,Master’s degree,15.0,115000.0
1492,United Kingdom of Great Britain and Northern Ireland,Master’s degree,0.5,38778.0
1494,Israel,Master’s degree,8.0,133080.0
1500,United States of America,Less than a Bachelors,9.0,150000.0
1503,United States of America,Bachelor’s degree,1.0,70000.0
1504,United States of America,Bachelor’s degree,10.0,130000.0
1505,France,Master’s degree,7.0,52968.0
1507,India,Bachelor’s degree,9.0,25128.0
1510,Germany,Master’s degree,7.0,85397.0
1511,United States of America,Post grad,2.0,123000.0
1512,Germany,Master’s degree,10.0,97288.0
1524,United States of America,Master’s degree,7.0,110000.0
1525,Canada,Master’s degree,10.0,90758.0
1527,Germany,Master’s degree,12.0,69183.0
1531,Spain,Bachelor’s degree,7.0,32429.0
1533,United States of America,Bachelor’s degree,9.0,240000.0
1534,United States of America,Bachelor’s degree,31.0,82000.0
1537,United States of America,Bachelor’s degree,5.0,76000.0
1540,United States of America,Bachelor’s degree,42.0,70000.0
1549,Poland,Less than a Bachelors,9.0,28860.0
